"Deaths_Count","Year","Cancer_Type","AgeGroup","Sex"
14,2005,"Colorectal cancer",1,1
5,2005,"Colorectal cancer",2,1
14,2005,"Colorectal cancer",5,1
15,2005,"Colorectal cancer",6,1
6,2005,"Colorectal cancer",8,1
16,2005,"Colorectal cancer",10,1
18,2005,"Colorectal cancer",11,1
46,2005,"Colorectal cancer",12,1
51,2005,"Colorectal cancer",13,1
52,2005,"Colorectal cancer",14,1
47,2005,"Colorectal cancer",15,1
85,2005,"Colorectal cancer",16,1
60,2005,"Colorectal cancer",17,1
25,2005,"Colorectal cancer",18,1
11,2005,"Colorectal cancer",1,2
17,2005,"Colorectal cancer",2,2
16,2005,"Colorectal cancer",4,2
8,2005,"Colorectal cancer",6,2
2,2005,"Colorectal cancer",8,2
3,2005,"Colorectal cancer",9,2
12,2005,"Colorectal cancer",11,2
20,2005,"Colorectal cancer",12,2
1,2005,"Colorectal cancer",13,2
11,2005,"Colorectal cancer",14,2
22,2005,"Colorectal cancer",15,2
45,2005,"Colorectal cancer",16,2
40,2005,"Colorectal cancer",17,2
67,2005,"Colorectal cancer",18,2
9,2006,"Colorectal cancer",1,1
10,2006,"Colorectal cancer",4,1
17,2006,"Colorectal cancer",5,1
1,2006,"Colorectal cancer",7,1
3,2006,"Colorectal cancer",9,1
2,2006,"Colorectal cancer",10,1
29,2006,"Colorectal cancer",11,1
28,2006,"Colorectal cancer",12,1
33,2006,"Colorectal cancer",13,1
65,2006,"Colorectal cancer",14,1
47,2006,"Colorectal cancer",15,1
59,2006,"Colorectal cancer",16,1
68,2006,"Colorectal cancer",17,1
65,2006,"Colorectal cancer",18,1
1,2006,"Colorectal cancer",1,2
2,2006,"Colorectal cancer",2,2
8,2006,"Colorectal cancer",6,2
16,2006,"Colorectal cancer",8,2
12,2006,"Colorectal cancer",9,2
21,2006,"Colorectal cancer",11,2
4,2006,"Colorectal cancer",12,2
7,2006,"Colorectal cancer",13,2
18,2006,"Colorectal cancer",14,2
35,2006,"Colorectal cancer",15,2
39,2006,"Colorectal cancer",16,2
58,2006,"Colorectal cancer",17,2
40,2006,"Colorectal cancer",18,2
4,2007,"Colorectal cancer",1,1
10,2007,"Colorectal cancer",4,1
9,2007,"Colorectal cancer",6,1
18,2007,"Colorectal cancer",10,1
6,2007,"Colorectal cancer",11,1
43,2007,"Colorectal cancer",12,1
56,2007,"Colorectal cancer",13,1
54,2007,"Colorectal cancer",14,1
50,2007,"Colorectal cancer",15,1
72,2007,"Colorectal cancer",16,1
57,2007,"Colorectal cancer",17,1
33,2007,"Colorectal cancer",18,1
4,2007,"Colorectal cancer",1,2
17,2007,"Colorectal cancer",4,2
12,2007,"Colorectal cancer",6,2
19,2007,"Colorectal cancer",10,2
26,2007,"Colorectal cancer",12,2
41,2007,"Colorectal cancer",13,2
36,2007,"Colorectal cancer",14,2
53,2007,"Colorectal cancer",15,2
41,2007,"Colorectal cancer",16,2
62,2007,"Colorectal cancer",17,2
79,2007,"Colorectal cancer",18,2
11,2008,"Colorectal cancer",1,1
17,2008,"Colorectal cancer",3,1
18,2008,"Colorectal cancer",5,1
6,2008,"Colorectal cancer",6,1
6,2008,"Colorectal cancer",8,1
14,2008,"Colorectal cancer",9,1
13,2008,"Colorectal cancer",10,1
14,2008,"Colorectal cancer",11,1
8,2008,"Colorectal cancer",12,1
35,2008,"Colorectal cancer",13,1
56,2008,"Colorectal cancer",14,1
36,2008,"Colorectal cancer",15,1
55,2008,"Colorectal cancer",16,1
77,2008,"Colorectal cancer",17,1
39,2008,"Colorectal cancer",18,1
11,2008,"Colorectal cancer",1,2
4,2008,"Colorectal cancer",2,2
13,2008,"Colorectal cancer",3,2
5,2008,"Colorectal cancer",4,2
16,2008,"Colorectal cancer",5,2
6,2008,"Colorectal cancer",8,2
2,2008,"Colorectal cancer",11,2
31,2008,"Colorectal cancer",13,2
37,2008,"Colorectal cancer",14,2
32,2008,"Colorectal cancer",15,2
55,2008,"Colorectal cancer",16,2
51,2008,"Colorectal cancer",17,2
73,2008,"Colorectal cancer",18,2
4,2009,"Colorectal cancer",2,1
11,2009,"Colorectal cancer",5,1
3,2009,"Colorectal cancer",6,1
15,2009,"Colorectal cancer",7,1
17,2009,"Colorectal cancer",10,1
28,2009,"Colorectal cancer",11,1
19,2009,"Colorectal cancer",12,1
58,2009,"Colorectal cancer",13,1
