"Diagnoses_Count","Year","Cancer_Type","AgeGroup","Sex"
7,2005,"Colorectal cancer",5,1
22,2005,"Colorectal cancer",7,1
41,2005,"Colorectal cancer",9,1
40,2005,"Colorectal cancer",10,1
61,2005,"Colorectal cancer",11,1
94,2005,"Colorectal cancer",12,1
125,2005,"Colorectal cancer",13,1
149,2005,"Colorectal cancer",14,1
144,2005,"Colorectal cancer",15,1
168,2005,"Colorectal cancer",16,1
113,2005,"Colorectal cancer",17,1
64,2005,"Colorectal cancer",18,1
7,2005,"Colorectal cancer",1,2
19,2005,"Colorectal cancer",4,2
10,2005,"Colorectal cancer",5,2
21,2005,"Colorectal cancer",6,2
11,2005,"Colorectal cancer",7,2
30,2005,"Colorectal cancer",8,2
15,2005,"Colorectal cancer",9,2
19,2005,"Colorectal cancer",10,2
69,2005,"Colorectal cancer",11,2
63,2005,"Colorectal cancer",12,2
66,2005,"Colorectal cancer",13,2
112,2005,"Colorectal cancer",14,2
89,2005,"Colorectal cancer",15,2
133,2005,"Colorectal cancer",16,2
118,2005,"Colorectal cancer",17,2
103,2005,"Colorectal cancer",18,2
13,2006,"Colorectal cancer",2,1
6,2006,"Colorectal cancer",5,1
13,2006,"Colorectal cancer",8,1
15,2006,"Colorectal cancer",9,1
14,2006,"Colorectal cancer",10,1
68,2006,"Colorectal cancer",11,1
108,2006,"Colorectal cancer",12,1
106,2006,"Colorectal cancer",13,1
178,2006,"Colorectal cancer",14,1
168,2006,"Colorectal cancer",15,1
133,2006,"Colorectal cancer",16,1
75,2006,"Colorectal cancer",17,1
64,2006,"Colorectal cancer",18,1
1,2006,"Colorectal cancer",1,2
22,2006,"Colorectal cancer",4,2
6,2006,"Colorectal cancer",6,2
2,2006,"Colorectal cancer",7,2
8,2006,"Colorectal cancer",9,2
36,2006,"Colorectal cancer",10,2
66,2006,"Colorectal cancer",11,2
88,2006,"Colorectal cancer",12,2
74,2006,"Colorectal cancer",13,2
123,2006,"Colorectal cancer",14,2
112,2006,"Colorectal cancer",15,2
121,2006,"Colorectal cancer",16,2
95,2006,"Colorectal cancer",17,2
98,2006,"Colorectal cancer",18,2
20,2007,"Colorectal cancer",1,1
12,2007,"Colorectal cancer",2,1
10,2007,"Colorectal cancer",3,1
5,2007,"Colorectal cancer",4,1
12,2007,"Colorectal cancer",5,1
2,2007,"Colorectal cancer",6,1
2,2007,"Colorectal cancer",7,1
21,2007,"Colorectal cancer",8,1
6,2007,"Colorectal cancer",9,1
25,2007,"Colorectal cancer",10,1
89,2007,"Colorectal cancer",11,1
115,2007,"Colorectal cancer",12,1
137,2007,"Colorectal cancer",13,1
206,2007,"Colorectal cancer",14,1
147,2007,"Colorectal cancer",15,1
160,2007,"Colorectal cancer",16,1
78,2007,"Colorectal cancer",17,1
55,2007,"Colorectal cancer",18,1
16,2007,"Colorectal cancer",2,2
1,2007,"Colorectal cancer",3,2
13,2007,"Colorectal cancer",5,2
8,2007,"Colorectal cancer",7,2
37,2007,"Colorectal cancer",9,2
27,2007,"Colorectal cancer",10,2
41,2007,"Colorectal cancer",11,2
77,2007,"Colorectal cancer",12,2
73,2007,"Colorectal cancer",13,2
104,2007,"Colorectal cancer",14,2
120,2007,"Colorectal cancer",15,2
112,2007,"Colorectal cancer",16,2
108,2007,"Colorectal cancer",17,2
95,2007,"Colorectal cancer",18,2
9,2008,"Colorectal cancer",4,1
12,2008,"Colorectal cancer",6,1
16,2008,"Colorectal cancer",7,1
2,2008,"Colorectal cancer",8,1
13,2008,"Colorectal cancer",9,1
36,2008,"Colorectal cancer",10,1
51,2008,"Colorectal cancer",11,1
97,2008,"Colorectal cancer",12,1
138,2008,"Colorectal cancer",13,1
196,2008,"Colorectal cancer",14,1
184,2008,"Colorectal cancer",15,1
133,2008,"Colorectal cancer",16,1
121,2008,"Colorectal cancer",17,1
75,2008,"Colorectal cancer",18,1
4,2008,"Colorectal cancer",2,2
9,2008,"Colorectal cancer",4,2
15,2008,"Colorectal cancer",5,2
24,2008,"Colorectal cancer",7,2
3,2008,"Colorectal cancer",8,2
23,2008,"Colorectal cancer",9,2
36,2008,"Colorectal cancer",10,2
67,2008,"Colorectal cancer",11,2
70,2008,"Colorectal cancer",12,2
77,2008,"Colorectal cancer",13,2
136,2008,"Colorectal cancer",14,2
131,2008,"Colorectal cancer",15,2
118,2008,"Colorectal cancer",16,2
106,2008,"Colorectal cancer",17,2
117,2008,"Colorectal cancer",18,2
20,2009,"Colorectal cancer",1,1
11,2009,"Colorectal cancer",5,1
24,2009,"Colorectal cancer",7,1
15,2009,"Colorectal cancer",8,1
36,2009,"Colorectal cancer",9,1
47,2009,"Colorectal cancer",10,1
80,2009,"Colorectal cancer",11,1
92,2009,"Colorectal cancer",12,1
122,2009,"Colorectal cancer",13,1
151,2009,"Colorectal cancer",14,1
165,2009,"Colorectal cancer",15,1
150,2009,"Colorectal cancer",16,1
123,2009,"Colorectal cancer",17,1
77,2009,"Colorectal cancer",18,1
4,2009,"Colorectal cancer",1,2
13,2009,"Colorectal cancer",3,2
5,2009,"Colorectal cancer",5,2
10,2009,"Colorectal cancer",8,2
18,2009,"Colorectal cancer",9,2
22,2009,"Colorectal cancer",10,2
63,2009,"Colorectal cancer",11,2
56,2009,"Colorectal cancer",12,2
66,2009,"Colorectal cancer",13,2
111,2009,"Colorectal cancer",14,2
116,2009,"Colorectal cancer",15,2
124,2009,"Colorectal cancer",16,2
126,2009,"Colorectal cancer",17,2
114,2009,"Colorectal cancer",18,2
13,2010,"Colorectal cancer",2,1
3,2010,"Colorectal cancer",3,1
2,2010,"Colorectal cancer",5,1
21,2010,"Colorectal cancer",6,1
16,2010,"Colorectal cancer",7,1
7,2010,"Colorectal cancer",8,1
38,2010,"Colorectal cancer",9,1
55,2010,"Colorectal cancer",10,1
81,2010,"Colorectal cancer",11,1
88,2010,"Colorectal cancer",12,1
166,2010,"Colorectal cancer",13,1
162,2010,"Colorectal cancer",14,1
156,2010,"Colorectal cancer",15,1
146,2010,"Colorectal cancer",16,1
104,2010,"Colorectal cancer",17,1
56,2010,"Colorectal cancer",18,1
8,2010,"Colorectal cancer",1,2
17,2010,"Colorectal cancer",6,2
4,2010,"Colorectal cancer",8,2
5,2010,"Colorectal cancer",9,2
58,2010,"Colorectal cancer",10,2
41,2010,"Colorectal cancer",11,2
86,2010,"Colorectal cancer",12,2
99,2010,"Colorectal cancer",13,2
97,2010,"Colorectal cancer",14,2
145,2010,"Colorectal cancer",15,2
110,2010,"Colorectal cancer",16,2
142,2010,"Colorectal cancer",17,2
139,2010,"Colorectal cancer",18,2
3,2011,"Colorectal cancer",2,1
10,2011,"Colorectal cancer",3,1
1,2011,"Colorectal cancer",5,1
18,2011,"Colorectal cancer",6,1
19,2011,"Colorectal cancer",7,1
27,2011,"Colorectal cancer",8,1
13,2011,"Colorectal cancer",9,1
38,2011,"Colorectal cancer",10,1
85,2011,"Colorectal cancer",11,1
92,2011,"Colorectal cancer",12,1
147,2011,"Colorectal cancer",13,1
172,2011,"Colorectal cancer",14,1
185,2011,"Colorectal cancer",15,1
169,2011,"Colorectal cancer",16,1
106,2011,"Colorectal cancer",17,1
74,2011,"Colorectal cancer",18,1
14,2011,"Colorectal cancer",1,2
3,2011,"Colorectal cancer",2,2
7,2011,"Colorectal cancer",3,2
8,2011,"Colorectal cancer",4,2
16,2011,"Colorectal cancer",5,2
12,2011,"Colorectal cancer",9,2
26,2011,"Colorectal cancer",10,2
49,2011,"Colorectal cancer",11,2
56,2011,"Colorectal cancer",12,2
95,2011,"Colorectal cancer",13,2
105,2011,"Colorectal cancer",14,2
117,2011,"Colorectal cancer",15,2
101,2011,"Colorectal cancer",16,2
113,2011,"Colorectal cancer",17,2
130,2011,"Colorectal cancer",18,2
4,2012,"Colorectal cancer",2,1
16,2012,"Colorectal cancer",4,1
10,2012,"Colorectal cancer",6,1
24,2012,"Colorectal cancer",7,1
16,2012,"Colorectal cancer",8,1
12,2012,"Colorectal cancer",9,1
39,2012,"Colorectal cancer",10,1
73,2012,"Colorectal cancer",11,1
93,2012,"Colorectal cancer",12,1
138,2012,"Colorectal cancer",13,1
208,2012,"Colorectal cancer",14,1
155,2012,"Colorectal cancer",15,1
173,2012,"Colorectal cancer",16,1
126,2012,"Colorectal cancer",17,1
113,2012,"Colorectal cancer",18,1
6,2012,"Colorectal cancer",1,2
